"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","A","1949",3.738101,
"AUS","CPI","TOT","IDX2015","A","1950",4.063153,
"AUS","CPI","TOT","IDX2015","A","1951",4.852566,
"AUS","CPI","TOT","IDX2015","A","1952",5.688414,
"AUS","CPI","TOT","IDX2015","A","1953",5.943812,
"AUS","CPI","TOT","IDX2015","A","1954",6.036685,
"AUS","CPI","TOT","IDX2015","A","1955",6.129557,
"AUS","CPI","TOT","IDX2015","A","1956",6.477827,
"AUS","CPI","TOT","IDX2015","A","1957",6.663571,
"AUS","CPI","TOT","IDX2015","A","1958",6.710007,
"AUS","CPI","TOT","IDX2015","A","1959",6.849315,
"AUS","CPI","TOT","IDX2015","A","1960",7.104713,
"AUS","CPI","TOT","IDX2015","A","1961",7.26724,
"AUS","CPI","TOT","IDX2015","A","1962",7.244021,
"AUS","CPI","TOT","IDX2015","A","1963",7.290457,
"AUS","CPI","TOT","IDX2015","A","1964",7.49942,
"AUS","CPI","TOT","IDX2015","A","1965",7.754818,
"AUS","CPI","TOT","IDX2015","A","1966",8.010216,
"AUS","CPI","TOT","IDX2015","A","1967",8.288832,
"AUS","CPI","TOT","IDX2015","A","1968",8.497794,
"AUS","CPI","TOT","IDX2015","A","1969",8.77641,
"AUS","CPI","TOT","IDX2015","A","1970",9.078245,
"AUS","CPI","TOT","IDX2015","A","1971",9.635477,
"AUS","CPI","TOT","IDX2015","A","1972",10.21593,
"AUS","CPI","TOT","IDX2015","A","1973",11.14465,
"AUS","CPI","TOT","IDX2015","A","1974",12.86278,
"AUS","CPI","TOT","IDX2015","A","1975",14.8131,
"AUS","CPI","TOT","IDX2015","A","1976",16.78663,
"AUS","CPI","TOT","IDX2015","A","1977",18.85303,
"AUS","CPI","TOT","IDX2015","A","1978",20.3622,
"AUS","CPI","TOT","IDX2015","A","1979",22.21964,
"AUS","CPI","TOT","IDX2015","A","1980",24.47179,
"AUS","CPI","TOT","IDX2015","A","1981",26.79359,
"AUS","CPI","TOT","IDX2015","A","1982",29.83515,
"AUS","CPI","TOT","IDX2015","A","1983",32.83028,
"AUS","CPI","TOT","IDX2015","A","1984",34.13049,
"AUS","CPI","TOT","IDX2015","A","1985",36.42907,
"AUS","CPI","TOT","IDX2015","A","1986",39.72603,
"AUS","CPI","TOT","IDX2015","A","1987",43.11586,
"AUS","CPI","TOT","IDX2015","A","1988",46.22707,
"AUS","CPI","TOT","IDX2015","A","1989",49.70977,
"AUS","CPI","TOT","IDX2015","A","1990",53.355,
"AUS","CPI","TOT","IDX2015","A","1991",55.04992,
"AUS","CPI","TOT","IDX2015","A","1992",55.60715,
"AUS","CPI","TOT","IDX2015","A","1993",56.58231,
"AUS","CPI","TOT","IDX2015","A","1994",57.69677,
"AUS","CPI","TOT","IDX2015","A","1995",60.36684,
"AUS","CPI","TOT","IDX2015","A","1996",61.94567,
"AUS","CPI","TOT","IDX2015","A","1997",62.08498,
"AUS","CPI","TOT","IDX2015","A","1998",62.61899,
"AUS","CPI","TOT","IDX2015","A","1999",63.54771,
"AUS","CPI","TOT","IDX2015","A","2000",66.38031,
"AUS","CPI","TOT","IDX2015","A","2001",69.30578,
"AUS","CPI","TOT","IDX2015","A","2002",71.37218,
"AUS","CPI","TOT","IDX2015","A","2003",73.32249,
"AUS","CPI","TOT","IDX2015","A","2004",75.04063,
"AUS","CPI","TOT","IDX2015","A","2005",77.0606,
"AUS","CPI","TOT","IDX2015","A","2006",79.80032,
"AUS","CPI","TOT","IDX2015","A","2007",81.65777,
"AUS","CPI","TOT","IDX2015","A","2008",85.21012,
"AUS","CPI","TOT","IDX2015","A","2009",86.71929,
"AUS","CPI","TOT","IDX2015","A","2010",89.25006,
"AUS","CPI","TOT","IDX2015","A","2011",92.19875,
